2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-CaseType]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-CaseType
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Class]: autoDerived=[pyInitialVersion, pyRuleSet, pyRuleSetVersion], hardConsts=[pyInitialVersion], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Class
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Corr]: autoDerived=[pxObjClass, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Corr
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-FieldValue]: autoDerived=[pyRuleName, pyRuleStarts, pyRuleEnds, pySortDateCircumWithinRSMajor, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyFieldName + ' ' + pyFieldValue}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-FieldValue
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Flow]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Flow
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-FlowAction]: autoDerived=[pyRuleName, pyStreamName, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyActionName, pyStreamName=pyActionName}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-FlowAction
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Model]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Model
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Property]: autoDerived=[pySPRuleSetName, pyIsFieldForWorkClass, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Property
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Report-Definition]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.979 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Report-Definition
2026-09-03 14:32:30.979 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-ServiceLevel]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.979 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-ServiceLevel
2026-09-03 14:32:30.979 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Validate]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.979 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Validate
2026-09-03 14:32:30.979 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-When]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
